[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 101] | [func: train] | [INFO : Construct lightgbm validation dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 109] | [func: train] | [INFO : Set preprocessing parameters for lightgbm, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 127] | [func: train] | [INFO : Start training lightgbm model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 142] | [func: train] | [INFO : Training lightgbm model finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 168] | [func: _train_run] | [INFO : Evaluate model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 193] | [func: eval] | [INFO : Starting evaluation, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 213] | [func: eval] | [INFO : Starting predicting, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 243] | [func: eval] | [INFO : train_metric: 0.8626065687024208, val_metrics: 0.8644970748051317] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 175] | [func: _train_run] | [INFO : Update best model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 122] | [func: _train_run] | [INFO : Starting update search space, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 133] | [func: _train_run] | [INFO : tuner algorithms: evolution, Auto machine learning trial number: 0] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 145] | [func: _train_run] | [INFO : Generate hyper parameters, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 153] | [func: _train_run] | [INFO : Send parameters to model object, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 161] | [func: _train_run] | [INFO : Model training, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 92] | [func: train] | [INFO : Construct lightgbm training dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 101] | [func: train] | [INFO : Construct lightgbm validation dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 109] | [func: train] | [INFO : Set preprocessing parameters for lightgbm, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 127] | [func: train] | [INFO : Start training lightgbm model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 142] | [func: train] | [INFO : Training lightgbm model finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 168] | [func: _train_run] | [INFO : Evaluate model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 193] | [func: eval] | [INFO : Starting evaluation, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 213] | [func: eval] | [INFO : Starting predicting, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 243] | [func: eval] | [INFO : train_metric: 0.9035953661159014, val_metrics: 0.8994822318282034] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 175] | [func: _train_run] | [INFO : Update best model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 133] | [func: _train_run] | [INFO : tuner algorithms: evolution, Auto machine learning trial number: 1] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 145] | [func: _train_run] | [INFO : Generate hyper parameters, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 153] | [func: _train_run] | [INFO : Send parameters to model object, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 161] | [func: _train_run] | [INFO : Model training, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 92] | [func: train] | [INFO : Construct lightgbm training dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 101] | [func: train] | [INFO : Construct lightgbm validation dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 109] | [func: train] | [INFO : Set preprocessing parameters for lightgbm, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:54] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 127] | [func: train] | [INFO : Start training lightgbm model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 142] | [func: train] | [INFO : Training lightgbm model finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 168] | [func: _train_run] | [INFO : Evaluate model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 193] | [func: eval] | [INFO : Starting evaluation, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 213] | [func: eval] | [INFO : Starting predicting, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 243] | [func: eval] | [INFO : train_metric: 0.8709077062211434, val_metrics: 0.8817791608075969] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 175] | [func: _train_run] | [INFO : Update best model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 133] | [func: _train_run] | [INFO : tuner algorithms: evolution, Auto machine learning trial number: 2] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 145] | [func: _train_run] | [INFO : Generate hyper parameters, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 153] | [func: _train_run] | [INFO : Send parameters to model object, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 161] | [func: _train_run] | [INFO : Model training, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 92] | [func: train] | [INFO : Construct lightgbm training dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 101] | [func: train] | [INFO : Construct lightgbm validation dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 109] | [func: train] | [INFO : Set preprocessing parameters for lightgbm, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 127] | [func: train] | [INFO : Start training lightgbm model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 142] | [func: train] | [INFO : Training lightgbm model finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 168] | [func: _train_run] | [INFO : Evaluate model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 193] | [func: eval] | [INFO : Starting evaluation, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 213] | [func: eval] | [INFO : Starting predicting, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 243] | [func: eval] | [INFO : train_metric: 0.9343452939394465, val_metrics: 0.9109732421343796] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 175] | [func: _train_run] | [INFO : Update best model, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 133] | [func: _train_run] | [INFO : tuner algorithms: evolution, Auto machine learning trial number: 3] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 145] | [func: _train_run] | [INFO : Generate hyper parameters, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 153] | [func: _train_run] | [INFO : Send parameters to model object, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 161] | [func: _train_run] | [INFO : Model training, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 92] | [func: train] | [INFO : Construct lightgbm training dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 101] | [func: train] | [INFO : Construct lightgbm validation dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 275] | [func: feature_choose] | [INFO : index method used.] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 56] | [func: _generate_sub_dataset] | [INFO : Reading base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 64] | [func: _generate_sub_dataset] | [INFO : Check base dataset, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: single_process_model.py] | [lno: 71] | [func: _generate_sub_dataset] | [INFO : Construct lgb.Dataset object in load_data method, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 72] | [func: __load_data] | [INFO : Method load_data() has finished, with current memory usage: 0.31 GiB] 
[time: 2021-09-09 09:35:55] | [pid: 128296 pnm: MainProcess] | [fnm: gbdt.py] | [lno: 109] | [func: train] | [INFO : Set preprocessing parameters for lightgbm, with current memory usage: 0.31 GiB] 
